2001 3
2004 122
2005 435
2006 442
2007 1302
2008 2992
2009 3751
2010 3350
2011 5724
2012 6063
2013 9167
2014 9142
2015 11010
2016 14384
2017 14508
2018 11545
2019 12708
2020 11987
2021 6061
